,clf__C,clf__class_weight,trans__kernel,Accuracy
0,1,,linear,0.8138035190592742
1,1,,rbf,0.8148354068425017
2,1,,sigmoid,0.8112039465187412
3,1,,poly,0.8111642561039764
4,1,balanced,linear,0.5126509220146351
5,1,balanced,rbf,0.5989524998661236
6,1,balanced,sigmoid,0.3769581549627194
7,1,balanced,poly,0.33135579385554575
8,10,,linear,0.8132478926279779
9,10,,rbf,0.8237255714947223
10,10,,sigmoid,0.8115214540866951
11,10,,poly,0.8132677378353603
12,10,balanced,linear,0.5723814681988427
13,10,balanced,rbf,0.6284409699581361
14,10,balanced,sigmoid,0.48641918826801744
15,10,balanced,poly,0.40005573589494003
