,params,rank_test_f1,mean_test_f1
0,"{'subsample': 0.6, 'scale_sqrt': 4, 'reg_lambda': 0.1, 'reg_alpha': 0.05, 'n_estimators': 150, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 0}",2,0.6332038102500428
1,"{'subsample': 0.8, 'scale_sqrt': 3, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 15, 'learning_rate': 0.2, 'gamma': 0.5}",8,0.6135918846256915
2,"{'subsample': 1.0, 'scale_sqrt': 3, 'reg_lambda': 0.05, 'reg_alpha': 0.05, 'n_estimators': 300, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.5}",7,0.6164852394022312
3,"{'subsample': 0.8, 'scale_sqrt': 3, 'reg_lambda': 0.05, 'reg_alpha': 0.01, 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 15, 'learning_rate': 0.2, 'gamma': 0.5}",4,0.6182394279882947
4,"{'subsample': 1.0, 'scale_sqrt': 2, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 250, 'min_child_weight': 2, 'max_depth': 30, 'learning_rate': 0.25, 'gamma': 1}",11,0.59218900362904
5,"{'subsample': 0.6, 'scale_sqrt': 2, 'reg_lambda': 0.0001, 'reg_alpha': 0.0001, 'n_estimators': 250, 'min_child_weight': 10, 'max_depth': 20, 'learning_rate': 0.05, 'gamma': 0.5}",9,0.5955569774070437
6,"{'subsample': 1.0, 'scale_sqrt': 2, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.05, 'gamma': 0}",12,0.5845822204757307
7,"{'subsample': 1.0, 'scale_sqrt': 4, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 20, 'learning_rate': 0.3, 'gamma': 1.5}",3,0.6261399608550726
8,"{'subsample': 0.6, 'scale_sqrt': 1, 'reg_lambda': 0.05, 'reg_alpha': 0.05, 'n_estimators': 150, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 1.5}",15,0.5105582904951684
9,"{'subsample': 1.0, 'scale_sqrt': 3, 'reg_lambda': 0.001, 'reg_alpha': 0.0001, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.25, 'gamma': 0}",5,0.6180110467215916
10,"{'subsample': 1.0, 'scale_sqrt': 2, 'reg_lambda': 0.0001, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 20, 'learning_rate': 0.1, 'gamma': 0.5}",10,0.5926302072547418
11,"{'subsample': 0.8, 'scale_sqrt': 2, 'reg_lambda': 0.0001, 'reg_alpha': 0.0001, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.5}",13,0.5716146825797802
12,"{'subsample': 0.8, 'scale_sqrt': 3, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 1.5}",6,0.6177271757027065
13,"{'subsample': 0.6, 'scale_sqrt': 4, 'reg_lambda': 0.0001, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 5}",1,0.6889244693981385
14,"{'subsample': 0.6, 'scale_sqrt': 1, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 250, 'min_child_weight': 4, 'max_depth': 30, 'learning_rate': 0.15, 'gamma': 2}",14,0.5132916359474026
